wl,n,k
191.46,2.04232,0.59569
193.05,2.05161,0.60194
194.65,2.06105,0.6071
196.25,2.07055,0.61126
197.84,2.08003,0.61447
199.44,2.08942,0.61682
201.04,2.09867,0.61839
202.63,2.10773,0.61925
204.23,2.11656,0.61948
205.83,2.12515,0.61915
207.42,2.13346,0.61834
209.02,2.1415,0.6171
210.62,2.14925,0.61551
212.22,2.15672,0.61363
213.81,2.16392,0.61152
215.41,2.17086,0.60923
217.01,2.17756,0.60682
218.6,2.18405,0.60433
220.2,2.19036,0.6018
221.8,2.19652,0.59928
223.4,2.20258,0.59679
224.99,2.20857,0.59437
226.59,2.21454,0.59203
228.19,2.22055,0.5898
229.79,2.22664,0.58767
231.39,2.23288,0.58566
232.98,2.23933,0.58374
234.58,2.24605,0.58192
236.18,2.25311,0.58015
237.78,2.26057,0.5784
239.38,2.26848,0.57661
240.97,2.27692,0.57473
242.57,2.28593,0.57267
244.17,2.29556,0.57033
245.77,2.30584,0.5676
247.37,2.31678,0.56436
248.97,2.32839,0.56046
250.57,2.34064,0.55577
252.16,2.35346,0.55012
253.76,2.36678,0.54335
255.36,2.38045,0.53532
256.96,2.39432,0.5259
258.56,2.40818,0.51496
260.16,2.42182,0.50245
261.76,2.43496,0.48832
263.36,2.44735,0.47261
264.96,2.45872,0.45539
266.56,2.46881,0.4368
268.15,2.47739,0.41703
269.75,2.48429,0.39631
271.35,2.48937,0.37491
272.95,2.49256,0.35312
274.55,2.49385,0.33122
276.15,2.49328,0.3095
277.75,2.49094,0.2882
279.35,2.48696,0.26754
280.95,2.48152,0.2477
282.55,2.47478,0.22882
284.15,2.46693,0.211
285.75,2.45816,0.19431
287.35,2.44864,0.17876
288.95,2.43853,0.16437
290.55,2.428,0.15112
292.15,2.41717,0.13897
293.75,2.40615,0.12787
295.35,2.39505,0.11776
296.95,2.38395,0.10859
298.55,2.37292,0.1003
300.15,2.36201,0.09282
301.75,2.35127,0.08609
303.35,2.34075,0.08005
304.95,2.33046,0.07464
306.55,2.32044,0.06982
308.15,2.31069,0.06553
309.75,2.30124,0.06173
311.35,2.29209,0.05837
312.95,2.28326,0.05542
314.55,2.27475,0.05284
316.15,2.26658,0.0506
317.75,2.25875,0.04868
319.35,2.25133,0.04703
320.95,2.24435,0.0455
322.55,2.23769,0.04403
324.16,2.23129,0.0426
325.76,2.22512,0.04122
327.36,2.21914,0.03989
328.96,2.21335,0.03861
330.56,2.20773,0.03737
332.16,2.20226,0.03617
333.76,2.19692,0.03502
335.36,2.19173,0.03391
336.96,2.18665,0.03284
338.56,2.1817,0.0318
340.16,2.17685,0.03081
341.76,2.17211,0.02985
343.36,2.16746,0.02893
344.97,2.16291,0.02804
346.57,2.15846,0.02718
348.17,2.15408,0.02635
349.77,2.14979,0.02556
351.37,2.14558,0.02479
352.97,2.14144,0.02406
354.57,2.13738,0.02335
356.17,2.13338,0.02266
357.77,2.12945,0.022
359.38,2.12559,0.02137
360.98,2.12179,0.02076
362.58,2.11804,0.02017
364.18,2.11436,0.01961
365.78,2.11073,0.01907
367.38,2.10716,0.01854
368.98,2.10364,0.01804
370.58,2.10017,0.01756
372.19,2.09675,0.01709
373.79,2.09337,0.01664
375.39,2.09005,0.01621
376.99,2.08676,0.0158
378.59,2.08352,0.0154
380.19,2.08033,0.01502
381.79,2.07717,0.01465
383.39,2.07406,0.0143
385,2.07098,0.01396
386.6,2.06794,0.01363
388.2,2.06494,0.01332
389.8,2.06197,0.01301
391.4,2.05903,0.01272
393,2.05613,0.01244
394.6,2.05327,0.01218
396.21,2.05043,0.01192
397.81,2.04762,0.01167
399.41,2.04485,0.01144
401.01,2.0421,0.01121
402.61,2.03938,0.01099
404.21,2.03669,0.01078
405.81,2.03403,0.01058
407.42,2.03139,0.01039
409.02,2.02878,0.01021
410.62,2.0262,0.01003
412.22,2.02364,0.00986
413.82,2.0211,0.0097
415.42,2.01858,0.00955
417.02,2.01609,0.0094
418.63,2.01362,0.00926
420.23,2.01116,0.00912
421.83,2.00873,0.00899
423.43,2.00632,0.00887
425.03,2.00393,0.00875
426.63,2.00156,0.00864
428.23,1.99921,0.00853
429.84,1.99688,0.00843
431.44,1.99456,0.00834
433.04,1.99226,0.00824
434.64,1.98998,0.00816
436.24,1.98771,0.00807
437.84,1.98546,0.008
439.44,1.98323,0.00792
441.05,1.981,0.00785
442.65,1.9788,0.00779
444.25,1.97661,0.00773
445.85,1.97443,0.00767
447.45,1.97227,0.00761
449.05,1.97012,0.00756
450.65,1.96798,0.00751
452.25,1.96586,0.00747
453.86,1.96375,0.00743
455.46,1.96164,0.00739
457.06,1.95956,0.00735
458.66,1.95748,0.00732
460.26,1.95541,0.00729
461.86,1.95336,0.00727
463.46,1.95131,0.00724
465.06,1.94928,0.00722
466.67,1.94725,0.0072
468.27,1.94524,0.00719
469.87,1.94323,0.00717
471.47,1.94123,0.00716
473.07,1.93925,0.00715
474.67,1.93727,0.00715
476.27,1.9353,0.00714
477.87,1.93333,0.00714
479.47,1.93138,0.00714
481.07,1.92943,0.00714
482.67,1.92749,0.00714
484.28,1.92556,0.00715
485.88,1.92364,0.00715
487.48,1.92172,0.00716
489.08,1.91981,0.00718
490.68,1.9179,0.00719
492.28,1.91601,0.0072
493.88,1.91411,0.00722
495.48,1.91223,0.00724
497.08,1.91035,0.00725
498.68,1.90847,0.00728
500.28,1.9066,0.0073
501.88,1.90474,0.00732
503.48,1.90288,0.00735
505.08,1.90103,0.00737
506.68,1.89918,0.0074
508.28,1.89733,0.00743
509.89,1.89549,0.00746
511.49,1.89366,0.00749
513.09,1.89183,0.00753
514.69,1.89,0.00756
516.29,1.88817,0.0076
517.89,1.88635,0.00764
519.49,1.88454,0.00767
521.09,1.88273,0.00771
522.69,1.88092,0.00775
524.29,1.87911,0.0078
525.89,1.87731,0.00784
527.49,1.87551,0.00788
529.09,1.87371,0.00793
530.69,1.87192,0.00797
532.29,1.87013,0.00802
533.89,1.86834,0.00807
535.49,1.86655,0.00812
537.09,1.86477,0.00817
538.68,1.86299,0.00822
540.28,1.86121,0.00828
541.88,1.85943,0.00833
543.48,1.85765,0.00838
545.08,1.85588,0.00844
546.68,1.85411,0.0085
548.28,1.85234,0.00855
549.88,1.85057,0.00861
551.48,1.8488,0.00867
553.08,1.84703,0.00873
554.68,1.84527,0.0088
556.28,1.8435,0.00886
557.88,1.84174,0.00892
559.48,1.83998,0.00898
561.07,1.83822,0.00905
562.67,1.83646,0.00911
564.27,1.8347,0.00918
565.87,1.83294,0.00925
567.47,1.83118,0.00932
569.07,1.82943,0.00939
570.67,1.82767,0.00946
572.27,1.82591,0.00953
573.86,1.82415,0.0096
575.46,1.8224,0.00967
577.06,1.82064,0.00975
578.66,1.81888,0.00982
580.26,1.81713,0.0099
581.86,1.81537,0.00997
583.45,1.81362,0.01005
585.05,1.81186,0.01013
586.65,1.8101,0.01021
588.25,1.80834,0.01029
589.85,1.80659,0.01037
591.44,1.80483,0.01045
593.04,1.80307,0.01053
594.64,1.80131,0.01061
596.24,1.79955,0.0107
597.83,1.79779,0.01078
599.43,1.79603,0.01087
601.03,1.79426,0.01095
602.63,1.7925,0.01104
604.22,1.79074,0.01113
605.82,1.78897,0.01121
607.42,1.7872,0.0113
609.02,1.78544,0.01139
610.61,1.78367,0.01148
612.21,1.7819,0.01158
613.81,1.78012,0.01167
615.4,1.77835,0.01176
617,1.77658,0.01185
618.6,1.7748,0.01195
620.19,1.77302,0.01205
621.79,1.77125,0.01214
623.39,1.76947,0.01224
624.98,1.76768,0.01234
626.58,1.7659,0.01244
628.18,1.76411,0.01253
629.77,1.76233,0.01264
631.37,1.76054,0.01274
632.96,1.75875,0.01284
634.56,1.75695,0.01294
636.16,1.75516,0.01304
637.75,1.75336,0.01315
639.35,1.75156,0.01325
640.94,1.74976,0.01336
642.54,1.74796,0.01347
644.13,1.74615,0.01358
645.73,1.74434,0.01368
647.32,1.74253,0.01379
648.92,1.74072,0.0139
