wl,n,k
301.58,2.010731,0.354259
303.18,2.007976,0.345083
304.78,2.005071,0.336396
306.38,2.002047,0.32817
307.98,1.998926,0.320381
309.58,1.995731,0.313002
311.18,1.992479,0.306008
312.78,1.989183,0.299375
314.38,1.985855,0.293078
315.98,1.982501,0.287095
317.58,1.979126,0.281404
319.18,1.975733,0.275986
320.78,1.972321,0.270824
322.38,1.968886,0.265901
323.98,1.965425,0.261205
325.58,1.961931,0.256725
327.18,1.958397,0.252454
328.78,1.954812,0.248388
330.38,1.951169,0.244526
331.98,1.947457,0.240871
333.58,1.94367,0.237431
335.18,1.9398,0.234215
336.78,1.935844,0.23124
338.38,1.9318,0.228523
339.98,1.927673,0.226084
341.58,1.92347,0.223946
343.18,1.919207,0.222135
344.77,1.914904,0.220674
346.37,1.910588,0.219585
347.97,1.906295,0.21889
349.57,1.902065,0.218602
351.17,1.897945,0.218733
352.77,1.893986,0.219282
354.37,1.890244,0.220243
355.97,1.886775,0.221598
357.57,1.883635,0.223318
359.17,1.880879,0.225364
360.77,1.878553,0.227685
362.37,1.876698,0.230221
363.96,1.875346,0.232903
365.56,1.874514,0.235655
367.16,1.874209,0.238397
368.76,1.874421,0.241049
370.36,1.875127,0.243529
371.96,1.876289,0.245761
373.56,1.877856,0.247676
375.16,1.879763,0.249217
376.75,1.881936,0.250334
378.35,1.884293,0.250997
379.95,1.886746,0.25119
381.55,1.889207,0.250913
383.15,1.891588,0.250186
384.75,1.893809,0.249045
386.35,1.895798,0.247543
387.94,1.897499,0.245746
389.54,1.898872,0.243732
391.14,1.899897,0.241583
392.74,1.900577,0.239384
394.34,1.900935,0.237211
395.93,1.901014,0.23513
397.53,1.900872,0.233191
399.13,1.900578,0.23142
400.73,1.900201,0.229822
402.33,1.899806,0.228376
403.92,1.899447,0.227042
405.52,1.899155,0.225763
407.12,1.898942,0.224476
408.72,1.898793,0.223114
410.32,1.898669,0.221623
411.91,1.898512,0.219961
413.51,1.898252,0.218109
415.11,1.897811,0.216071
416.71,1.897117,0.213877
418.3,1.896103,0.211578
419.9,1.894722,0.209244
421.5,1.892945,0.206956
423.09,1.890765,0.204804
424.69,1.888199,0.202873
426.29,1.885285,0.201245
427.89,1.882076,0.199989
429.48,1.878642,0.199159
431.08,1.875058,0.198791
432.68,1.871407,0.198905
434.27,1.867766,0.199502
435.87,1.864214,0.200568
437.47,1.860817,0.202076
439.06,1.857636,0.203989
440.66,1.85472,0.206261
442.26,1.852106,0.208843
443.85,1.849822,0.211682
445.45,1.847886,0.214726
447.05,1.846306,0.217923
448.64,1.845085,0.221225
450.24,1.844218,0.224587
451.83,1.843693,0.227968
453.43,1.843498,0.231331
455.03,1.843615,0.234643
456.62,1.844025,0.237876
458.22,1.844707,0.241003
459.81,1.845639,0.244005
461.41,1.846798,0.246862
463.01,1.848162,0.24956
464.6,1.849707,0.252087
466.2,1.85141,0.254432
467.79,1.853248,0.256589
469.39,1.855199,0.258552
470.98,1.857242,0.260318
472.58,1.859353,0.261887
474.17,1.861514,0.263258
475.77,1.863703,0.264434
477.36,1.865901,0.26542
478.96,1.868091,0.266221
480.55,1.870254,0.266844
482.15,1.872375,0.267297
483.74,1.874438,0.267589
485.34,1.876429,0.267732
486.93,1.878335,0.267737
488.53,1.880146,0.267617
490.12,1.88185,0.267384
491.72,1.883439,0.267054
493.31,1.884906,0.266639
494.9,1.886245,0.266157
496.5,1.887453,0.26562
498.09,1.888525,0.265046
499.69,1.889461,0.264449
501.28,1.890261,0.263845
502.87,1.890927,0.263249
504.47,1.891462,0.262675
